----[BEISTRICH GETRENNTE CSV!]
----Code, Parent Key Columns, Child Key Columns 
PIC_ARS,ARS_FIRMENNR; ARS_STATISTIKLFDNR,FIRMENNR; STATISTIKLFDNR
PWK_ARS,ARS_FIRMENNR; ARS_STATISTIKLFDNR,FIRMENNR; STATISTIKLFDNR
TSK_ARS,ARS_FIRMENNR; ARS_STATISTIKLFDNR,FIRMENNR; STATISTIKLFDNR
ACU_ASA,ASAID,ASAID
ASO_ASB,ASB_SUM_AUSWERTSUBID,AUSWERTSUBID
ASO_ASB,ASB_AUSWERTSUBID,AUSWERTSUBID
LEI_ASC,ASC_ASCID,ASCID
ASO_ASK,FIRMENNR; SORTKOPFNR,FIRMENNR; SORTKOPFNR
AWE_ASK,ASK_SORTKOPFNR; ASK_FIRMENNR,SORTKOPFNR; FIRMENNR
SSZ_ASK,ASK_FIRMENNR; ASK_SORTKOPFNR,FIRMENNR; SORTKOPFNR
AAD_ASP,ASP_ANBUSPALTENKOPFID,ANBUSPALTENKOPFID
