ATZ_TABELLENNAME (PK);ATZ_TABELLENNAME
ATZ_ABFRAGEKZ (PK);ATZ_ABFRAGEKZ
ATZ_ABFRAGENR (PK);ATZ_ABFRAGENR
AUC_AUCID (PK);AUC_AUCID
BAT_BEMID (PK);BAT_BEMID
BAT_BATLFDNR (PK);BAT_BATLFDNR
BEG_BERECHTIGUNGSNR (PK);BEG_BERECHTIGUNGSNR
BEM_BEMID (PK);BEM_BEMID
BGR_BMDGRUPPENID (PK);BGR_BMDGRUPPENID
BGR_BERECHTTYP (PK);BGR_BERECHTTYP
BLB_BLOBLFDNR (PK);BLB_BLOBLFDNR
BLB_SPRACH_NR (PK);BLB_SPRACH_NR
BLC_SCHEMANAME (PK);BLC_SCHEMANAME
BLC_TABLENAME (PK);BLC_TABLENAME
BLC_LOCKKEY (PK);BLC_LOCKKEY
BLS_BLOBLFDNR (PK);BLS_BLOBLFDNR
BMA_ACCOUNTLFDNR (PK);BMA_ACCOUNTLFDNR
BMF_KATALOGNR (PK);BMF_KATALOGNR
BMG_BMDGRUPPENID (PK);BMG_BMDGRUPPENID
BMH_BMDUSERVALHISTID (PK);BMH_BMDUSERVALHISTID
BMK_EMAILKATNR (PK);BMK_EMAILKATNR
BMP_BMPID (PK);BMP_BMPID
BMR_BMDROLLENID (PK);BMR_BMDROLLENID
BMU_BMDUSERID (PK);BMU_BMDUSERID
BSA_BMDSESSIONARCHIVID (PK);BSA_BMDSESSIONARCHIVID
BSE_BMDSESSIONID (PK);BSE_BMDSESSIONID
BTF_TABELLENNAME (PK);BTF_TABELLENNAME
BTF_FELDNAME (PK);BTF_FELDNAME
BUZ_BMDUSERID (PK);BUZ_BMDUSERID
BUZ_BMDGRUPPENID (PK);BUZ_BMDGRUPPENID
BZP_BLOBPROTNR (PK);BZP_BLOBPROTNR
CAI_CADID (PK);CAI_CADID
CAI_KEY (PK);CAI_KEY
CDC_CACHEKEY (PK);CDC_CACHEKEY
CDC_CACHETYPE (PK);CDC_CACHETYPE
CLD_CLOUDID (PK);CLD_CLOUDID
CMZ_CMDZEILENNR (PK);CMZ_CMDZEILENNR
