---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
ABN_WERT_VIERTELFT_VERWALTUNG,,,numeric (24. 9)
ABN_WERT1_BEZAHLT,,,numeric (24. 9)
ABN_WERT1_KT_V,,,numeric (24. 9)
ABN_WERT1_VERWALTUNG,,,numeric (24. 9)
ABN_WERT2_BEZAHLT,,,numeric (24. 9)
ABN_WERT2_KT_V,,,numeric (24. 9)
ABN_WERT2_VERWALTUNG,,,numeric (24. 9)
ABN_WERT3_BEZAHLT,,,numeric (24. 9)
ABN_WERT3_KT_V,,,numeric (24. 9)
ABN_WERT3_VERWALTUNG,,,numeric (24. 9)
ABN_WERT4_BEZAHLT,,,numeric (24. 9)
ABN_WERT4_KT_V,,,numeric (24. 9)
ABN_WERT4_VERWALTUNG,,,numeric (24. 9)
ABO_AENDERUNGSDATUM,,,DATE
ABO_ANBUZKID,,,N15
ABO_BERECHNUNGSART,,,N2
ABO_BUCHART,,,A20
ABO_BUCHEN,,,N1
ABO_ERLOESKONTONR,,,N10
ABO_ERSTELLDATUM,,,DATE
ABO_ERSTELLUSER,,,A10
ABO_GEGENKONTONR,,,N10
ABO_IN_BUDGET,,,N1
ABO_KONTIERUNGSART,,,N1
ABO_KONTONR,,,N10
ABO_LETZTERUSER,,,A10
ABO_REIHENFOLGE,,,N9
ABO_SAK_FIBUNR,,,N6
ABO_SAK_FIRMENNR,,,N10
ABO_SAK_KONTONR,,,N10
ABQ_ABSID,,,bigint (19. 0)
ABQ_AENDERUNGSDATUM,,,DATE
ABQ_ERSTELLDATUM,,,DATE
ABQ_ERSTELLUSER,,,A10
ABQ_LETZTERUSER,,,A10
ABR_AENDERUNGSDATUM,,,DATE
ABR_ANBUZKID,,,N15
ABR_ANLAGEGUTID,,,N15
ABR_BEHALTEFRIST_ENDE,,,DATE
ABR_BEWRESART,,,N2
ABR_BEWRESDAT,,,DATE
ABR_BEWRESID,,,N15
ABR_CHRONIK,,,N15
ABR_CLUSTER_ANBUNR,,,N2
ABR_CLUSTER_FIRMENNR,,,N10
ABR_CLUSTERID,,,bigint (19. 0)
ABR_ERSTELLDATUM,,,DATE
ABR_ERSTELLUSER,,,A10
ABR_LETZTERUSER,,,A10
ABR_POSTITNR,,,N15
ABR_VERBRAUCH_MANUELL,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_1,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_10,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_11,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_12,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_2,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_3,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_4,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_5,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_6,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_7,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_8,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_9,,,numeric (24. 9)
ABR_VERBRAUCH_MANUELL_AB,,,DATE
ABS_ABSBEZ,,,A255
ABS_ABSID,,,bigint (19. 0)
ABS_ABSNR,,,N6
ABS_AENDERUNGSDATUM,,,DATE
ABS_BKNRE,,,A10
ABS_ERSTELLDATUM,,,DATE
ABS_ERSTELLUSER,,,A10
ABS_FIRMENNR,,,N10
ABS_FREIFELDA01,,,A255
ABS_FREIFELDA02,,,A255
ABS_FREIFELDA03,,,A255
ABS_GEM_LANDNR,,,N4
ABS_GEMEINDENR,,,N12
ABS_HAUSNRBIS,,,A5
ABS_HAUSNRVON,,,A5
ABS_ISTHAUPTABS,,,N1
ABS_KVTRE,,,A2
ABS_LETZTERUSER,,,A10
ABS_LOHNJAHR,,,N4
ABS_ORT_LANDNR,,,N4
ABS_PLZ,,,A10
ABS_PLZUNTERNR,,,N3
ABS_STIEGE,,,A5
ABS_STRASSE,,,A100
ABS_TUER,,,A5
ABU_AENDERUNGSDATUM,,,DATE
ABU_ANBUBEZ,,,A100
ABU_ANBUID,,,N15
ABU_ANBUNR,,,N2
ABU_BA_GAAP,,,N1
ABU_BA_HANDELSRECHT,,,N1
ABU_BA_IFRS_IAS,,,N1
ABU_BA_KALK,,,N1
ABU_BA_STEUERRECHT,,,N1
ABU_EDIT_DOG,,,A10
ABU_ERSTELLDATUM,,,DATE
ABU_ERSTELLUSER,,,A10
ABU_FIRMENNR,,,N10
ABU_INVNUMART,,,N1
ABU_INVNUMART_MASKE,,,A100
ABU_IST_ND_EINGABE_PROZ,,,N1
ABU_KONSOL,,,N1
ABU_LETZTERUSER,,,A10
ABU_MATCHCODE,,,A30
ABU_SHOW_DOG,,,A10
ABU_SHOW_KABTEILUNG,,,N1
ABU_SHOW_KDIMENSION,,,N1
ABU_SHOW_KGESCHAEFTSSTELLE,,,N1
ABU_SHOW_KSTELLE,,,N1
ABU_SHOW_KTRAEGER,,,N1
ABU_STARTKZ,,,N2
ABV_5X,,,N1
ABV_AENDERUNGSDATUM,,,DATE
ABV_DIENSTVLFDNR,,,N4
ABV_DIFF_AUFLABGABE,,,numeric (24. 9)
ABV_DIFF_BVBEITRAG,,,numeric (24. 9)
ABV_DIFF_BVENDE,,,numeric (24. 9)
ABV_DIFF_BVZUSCHLAG,,,numeric (24. 9)
ABV_DIFF_DB,,,numeric (24. 9)
ABV_DIFF_DZ,,,numeric (24. 9)
ABV_DIFF_KOMMST,,,numeric (24. 9)
ABV_DIFF_NETTO,,,numeric (24. 9)
ABV_DIFF_PK_BEITRAG,,,numeric (24. 9)
ABV_DIFF_SOZIALFOND,,,numeric (24. 9)
ABV_DIFF_SVDGGERINGF,,,numeric (24. 9)
ABV_DIFF_SVLFDDG,,,numeric (24. 9)
ABV_DIFF_SVSZDG,,,numeric (24. 9)
ABV_DIFF_UBAHN,,,numeric (24. 9)
ABV_ERSTELLDATUM,,,DATE
ABV_ERSTELLUSER,,,A10
ABV_FIRMENNR,,,N10
ABV_LETZTERUSER,,,A10
ABV_LOHNJAHR,,,N4
ABV_MITARBEITERID,,,A16
ABV_MONAT,,,N2
ABV_NTCS,,,N1
ABW_AENDERUNGSDATUM,,,DATE
ABW_AUFGABENNR,,,N15
ABW_AUSSCHREIBUNGSNR,,,N10
ABW_BEWERBID,,,N15
ABW_BEWSTATUS,,,N4
ABW_BMDUSERID,,,A10
ABW_ERSTELLDATUM,,,DATE
ABW_ERSTELLUSER,,,A10
ABW_FIRMENNR,,,N10
ABW_LETZTERUSER,,,A10
ABZ_ABKOPFLFDNR,,,N9
ABZ_ABKOPFZUCONSTID,,,N10
ABZ_ABKOPFZULFDNR,,,N4
ABZ_AENDERUNGSDATUM,,,DATE
ABZ_ERSTELLDATUM,,,DATE
ABZ_ERSTELLUSER,,,A10
ABZ_FIRMENNR,,,N10
ABZ_LETZTERUSER,,,A10
ABZ_SORTIERUNG,,,N4
ACA_AENDERUNGSDATUM,,,DATE
ACA_AUSW_ZEITRAUM,,,A20
ACA_ERSTELLDATUM,,,DATE
ACA_ERSTELLUSER,,,A10
ACA_FIBUNR,,,N6
ACA_FIRMENNR,,,N10
ACA_LETZTERUSER,,,A10
ACA_TESTFALLAUSWNR,,,N4
ACA_TESTFALLNR,,,N4
ACA_ZAHL01,,,numeric (17. 2)
ACA_ZAHL02,,,numeric (17. 2)
ACA_ZAHL03,,,numeric (17. 2)
ACA_ZAHL04,,,numeric (17. 2)
ACA_ZAHL05,,,numeric (17. 2)
ACA_ZAHL06,,,numeric (17. 2)
ACA_ZAHL07,,,numeric (17. 2)
ACA_ZAHL08,,,numeric (17. 2)
ACA_ZAHL09,,,numeric (17. 2)
ACA_ZAHL10,,,numeric (17. 2)
